codpais,idprovincia,iae,descripcion
ESP,48,121220,APARTEKO EDO MEA-USTIATEGI EDO EMAKIDAREN PERIMETROAZ LANDAKO LANTOKIAN BURDI. 
ESP,48,122100,BURDINAGINTZA INTEGRALA 
ESP,48,122200,BURDINAGINTZA EZ INTEGRALA 
ESP,48,122300,ALTZAIRUZKO TUTUEN FABRIKAZIOA 
ESP,48,122400,"TALDEA. TREFILAKETA, TEINKAKETA, PROFILAKETA, ALTZAIRUAREN HOTZETAKO IJEZKETA "
ESP,48,122510,ALUMINIOAREN EKOIZPEN ETA LEHEN TRANSFORMAZIOA 
ESP,48,122520,KOBREAREN EKOIZPEN ETA LEHEN TRANSFORMAZIOA 
ESP,48,122590,BURDINAZKOAK EZ DIREN ETA BESTELAKO ATALETAN BILDU EZ DIREN METALEN EKOIZPEN. 
ESP,48,123110,BUZTINEZKO SUBSTANTZIEN ERAUZKETA 
ESP,48,123120,"HAITZ ETA HARBELEN ERAUZKETA, ERAIKINTZARAKO "
ESP,48,123130,"AREA ETA LEGARREN ERAUZKETA, ERAIKINTZARAKO "
ESP,48,123140,IGELTSUEN ERAUZKETA. 
ESP,48,123190,BESTELAKO ATALETAN BILDU EZ DIREN ERAIKINTZAKO MATERIALEN ERAUZKETA 
ESP,48,123210,POTASIO GATZEN ERAUZKETA 
ESP,48,123220,FOSFATO ETA NITRATOEN ERAUZKETA 
ESP,48,123310,ITSASOKO GATZAREN ERAUZKETA 
ESP,48,123320,URBEGIKO GATZAREN ETA GEMA GATZAREN ERAUZKETA 
ESP,48,123400,SUFRE PIRITEN ERAUZKETA 
ESP,48,123910,FLUORITAREN ERAUZKETA 
ESP,48,123920,ZOHIKATZAREN ERAUZKETA 
ESP,48,123990,BESTELAKO ATALETAN BILDU EZ DIREN ETA EZ METALIK EZ ENERGIARIK DUTEN MEEN ERA. 
ESP,48,124100,ERAIKINTZARAKO LUR EGOSIZKO EKOIZKINEN MATERIALEN FABRIKAZIOA (GAI ERREGOGORR. 
ESP,48,124210,ZEMENTU ARTIFIZIALEN FABRIKAZIOA 
ESP,48,124220,IZADIKO ZEMENTUEN FABRIKAZIOA 
ESP,48,124230,IGELTSU KAREEN FABRIKAZIOA 
ESP,48,124310,ORMIGOI PRESTATUEN FABRIKAZIOA 
ESP,48,124320,FIBROZEMENTUZKO EKOIZKINEN FABRIKAZIOA 
ESP,48,124330,"ZEMENTUAREN BESTE EKOIZKIN ERATORRI BATZUREN FABRIKAZIOA, ZOLADURAK EZIK "
ESP,48,124340,ZEMENTUZKO ZOLADURA ERATORRIEN FABRIKAZIOA 
ESP,48,124350,IGELTSU ESKAIOLEN GAI ERATORRIEN FABRIKAZIOA 
ESP,48,124400,IZADIKO HARRIAREN INDUSTRIAK 
ESP,48,124500,KISKALGAILUEN FABRIKAZIOA 
ESP,48,124610,BEIRA LAUNAREN FABRIKAZIOA 
ESP,48,124620,BEIRA HUTSAREN FABRIKAZIOA 
ESP,48,124630,BEIRA TEKNIKOAREN FABRIKAZIOA 
ESP,48,124640,BEIRAZKO ZUNTZAREN FABRIKAZIOA 
ESP,48,124650,BEIRAREN ESKUZTAPENA. 
ESP,48,124660,FRITAKINEN ETA ESMALTE ZERAMIKOEN FABRIKAZIOA 
ESP,48,124710,GAI ERREGOGORREN FABRIKAZIOA 
ESP,48,124720,ZOLADURAAK EDOTA GAINJAZKIAK EGITEKO DIREN BALDOSA BERNIZTUGABE ETA ESMALTATU 
ESP,48,124730,ZOLADURAK EDOTA GAINJAZKIAK EGITEKO DIREN BALDOSA BERNIZTU ETA ESMALTATUEN FA. 
ESP,48,124740,"BAXERERIA, ETXEKO GAI ETA ZERAMIKAZKO MATERIALEN APAINKETARAKO GAIEN FABRIKAZI "
ESP,48,124750,"LOZA, PORTZELANA ETA GRESEZKO SANITATE APARATUEN FABRIKAZIOA "
ESP,48,124760,INSTALAZIO ELEKTRIKOETARAKO ZERAMIKAZKO ISOLAGAILU ETA PIEZA ISOLAGARRIEN FAB. 
ESP,48,124790,BESTELAKO ATALETAN BILDU EZ DIREN ZERAMIKAZKO GAIEN FABRIKAZIOA. 
ESP,48,124900,BESTELAKO ATALETAN BILDU EZ DIREN METALIK GABEKO MEA-EKOIZKINEN FABRIKAZIOA 
ESP,48,125110,JATORRI PETROKIMIKOA DUTEN EKOIZKIN KIMIKO ORGANIKOEN FABRIKAZIOA 
ESP,48,125120,BESTE EKOIZKIN KIMIKO ORGANIKO BATZUREN FABRIKAZIOA 
ESP,48,125130,EKOIZKIN KIMIKO EZ ORGANIKOEN FABRIKAZIOA (GAS KONPRIMATUAK EZIK) 
ESP,48,125140,LEHENGAI PLASTIKOEN FABRIKAZIOA 
ESP,48,125150,KAUTXU ETA LATEX SINTETIKOEN FABRIKAZIOA 
ESP,48,125160,ZUNTZ ARTIFIZIAL SINTETIKOEN EKOIZPENA 
ESP,48,125170,AZIDO ETA ANHIDRIDO FTALIKO MALEIKOEN FABRIKAZIOA 
ESP,48,125210,ONGARRIEN FABRIKAZIOA 
ESP,48,125220,ZOMORRO HILKARIEN FABRIKAZIOA 
ESP,48,125310,GAS KONPRIMATUEN FABRIKAZIOA 
ESP,48,125320,KOLOREKARI ETA PIGMENTUEN FABRIKAZIOA 
ESP,48,125330,"PINTURA, BERNIZ ETA LAKEN FABRIKAZIOA "
ESP,48,125340,MOLDIZTEGIKO TINDEN FABRIKAZIOA 
ESP,48,125350,INDUSTRIAN ERABILTZEKO DIREN OLIO ETA KOIPEEN FABRIKAZIOA 
ESP,48,125360,ESENTZIAZKO OLIOEN ETA SUBSTANTZIA AROMATIKO NATURAL ETA SINTETIKOEN FABRIKAZI 
ESP,48,125370,"EHUN, LARRU ETA KAUTXUGINTZARAKO KOLA, GELATINA ETA EKOIZKIN LAGUNGARRIEN FAB. "
ESP,48,125380,LEHERGAILUEN FABRIKAZIOA 
ESP,48,125390,BESTELAKO ATALETAN BILDU EZ DIREN INDUSTRI ERABILERAKO EKOIZKIN KIMIKOEN FABR. 
ESP,48,125410,BASEZKO FARMAZI EKOIZKINEN FABRIKAZIOA 
ESP,48,125420,FARMAZIAKO ESPEZIALITATEEN ETA BESTE EKOIZKIN BATZUREN FABRIKAZIOA 
ESP,48,125510,"XABOI ARRUNT, GARBIKARI ETA LIXIBEN FABRIKAZIOA "
ESP,48,125520,APAINMAHAIKO XABOIEN ETA LURRINGINTZA ETA KOSMETIKAKO BESTE EKOIZKIN BATZUREN 
ESP,48,125530,EZKO ETA PARAFINEN ERATORRIEN FABRIKAZIOA 
ESP,48,125540,EZKO ETA PARAFINEN ERATORRIEN FABRIKAZIOA 
ESP,48,125550,"PIROTEKNIAGAIEN, SUPIZTEKO ETA POSPOLUEN FABRIKAZIOA "
ESP,48,125590,BATEZ ERE AZKEN KONTSUMORAKO ERABILTZEKO IZAN BAINA BESTELAKO ATALETAN BILDU. 
ESP,48,131110,BURDINA ETA ALTZAIRUZKO PIEZEN GALDAKETA 
ESP,48,131120,BURDINAZKOAK EZ DIREN METALEN ETA BERAUEN ALEAZIOEN PIEZEN GALDAKETA 
ESP,48,131200,"FORJAKETA, ESTANPAKETA, TROKELAKETA, EBAKETA ETA ERREPULTSATUA "
ESP,48,131300,METALEN TRATAMENDU ETA GAINESTALDURA 
ESP,48,131410,METALEZKO AROZGINTZA 
ESP,48,131420,METALEZKO EGITUREN FABRIKAZIOA 
ESP,48,131500,GORDAILU HANDI ETA GALDARA LODIEN ERAIKUNTZA 
ESP,48,131610,ESKU ERREMINTEN FABRIKAZIOA 
ESP,48,131620,BURDINDEGI ZERRAILTEGIETAKO GAIEN FABRIKAZIOA 
ESP,48,131630,TORLOJUGINTZA ETA HARIAREN GAI ERATORRIEN FABRIKAZIOA 
ESP,48,131640,TRESNERIAGAIEN FABRIKAZIOA 
ESP,48,131650,"SUTEGI, BEROGAILU ETA BEROGINTZAKO APARATU ETXETIAR EZ ELEKTRIKOEN FABRIKAZIOA "
ESP,48,131660,METALEZKO ALTZARIEN FABRIKAZIOA 
ESP,48,131670,METALEZKO ALTZARIEN FABRIKAZIOA 
ESP,48,131680,SUARMA ARINEN ETA BERAUEN MUNIZIOEN FABRIKAZIOA 
ESP,48,131690,BESTELAKO ATALETAN BILDU EZ DIREN METALEZ AKABATZEN DIREN GAIEN FABRIKAZIOA 
ESP,48,131910,MEKANIKA OROKORRA 
ESP,48,131990,BESTELAKO ATALETAN BILDU EZ DIREN MEKANIKA LANTEGUIAK 
ESP,48,132110,NEKAZAL MAKINAGINTZA 
ESP,48,132120,NEKAZAL TRAKTOREGINTZA 
ESP,48,132210,METALAK LANTZEKO MAKINAGINTZA 
ESP,48,132220,ZUR KORTXOAK LANTZEKO MAKINAGINTZA 
ESP,48,132230,"MAKINA ERREMINTETARAKO LANABES, EKIPO, PIEZA ETA ALDAGAILUEN FABRIKAZIOA "
ESP,48,132310,EHUN MAKINAGINTZA ETA BERAIEN ALDAGAILUGINTZA 
ESP,48,132320,LARRUGINTZA ETA ZAPATAGINTZARAKO MAKINAGINTZA 
ESP,48,132330,JOSTEKO MAKINEN FABRIKAZIOA 
ESP,48,132410,"ELIKADURAGINTZA, EDARIGINTZA ETA TABAKOGINTZARAKO MAKINAK EGITEA "
ESP,48,132420,KIMIKAGINTZARAKO MAKINAK EGITEA 
ESP,48,132430,KAUTXUAREN ETA PLASTIKOGAIEN TRANSFORMAGINTZARAKO MAKINAK EGITEA 
ESP,48,132510,"MEATZARITZA, ERAIKINTZA ETA HERRILANETARAKO MAKINA ETA EKIPOGINTZA "
ESP,48,132520,METALEZKOAK EZ DIREN MEA EKOIZKINGINTZARAKO MAKINA EKIPOAK EGITEA 
ESP,48,132530,BURDINAGINTZA ETA GALDAKETARAKO MAKINA EKIPOAK EGITEA 
ESP,48,132540,JASOKETA ETA ESKUZTAPENERAKO MAKINERIAGINTZA 
ESP,48,132610,"ENGRANAJE, TRANSMISIO KATEEN ETA BESTELAKO TRANSMISIOGAILUEN FABRIKAZIOA "
ESP,48,132620,ERRODAMENDUEN FABRIKAZIOA 
ESP,48,132910,"PAPERGINTZA, KARTOIGINTZA ETA ARTE GRAFIKOETARAKO MAKINAK EGITEA "
ESP,48,132920,LEHORREKO IKUZKETA ETA GARBIKETARAKO MAKINAGINTZA 
ESP,48,132930,MOTOREGINTZA ETA TURBINAGINTZA (GARRAIORAKOAK DIRENAK EZIK) 
ESP,48,132940,JARIAKINEN ESKUZTAPENERAKO MAKINERIAGINTZA 
ESP,48,132990,BESTELAKO ATALETAN BILDU EZ DIREN MAKINAGINTZA ETA EKIPOGINTZA 
ESP,48,133000,BULEGOKO MAKINAGINTZA ETA ORDENAGAILUGINTZA (BERAIEN INSTALAZIOA BARNE) 
ESP,48,134100,HARI ETA KABLE ELEKTRIKOAK EGITEA 
ESP,48,134200,ERABILPEN ETA EKIPAMENDURAKO MATERIAL ELEKTRIKOGINTZA 
ESP,48,134300,PILA ETA METAGAILUEN FABRIKAZIOA 
ESP,48,134400,"NEURKETA, KONTROL ETA BEGIZTAPENERAKO ZENBAKAILU ETA APARATU ELEKTRIKOEN FABRI "
ESP,48,134500,ETXEKO ELEKTRATRESNEN FABRIKAZIOA 
ESP,48,134600,ARGITERIAKO LANPAREN ETA MATERIALAREN FABRIKAZIOA 
