"benefits_subaccount";"closing_subaccount";"credit_subaccount";"debit_subaccount";"loss_subaccount";"name";"periods"
"7710000000";"2130000000";"2810000000";"6810000000";"6710000000";"Maquinaria";18
"7710000000";"2180000000";"2810000000";"6810000000";"6710000000";"Transporte";14
"7710000000";"2060000000";"2800000000";"6800000000";"6710000000";"Programas Informáticos";10
"7710000000";"2140000000";"2810000000";"6800000000";"6710000000";"Herramientas";8
