ES2052;"CAJA INSULAR DE AHORROS DE CANARIAS";CECAESMM52
ES2056;"CAJA DE AHORROS DE POLLENSA";CECAESMM56
ES2059;"CAJA DE AHORROS DE SABADELL";CECAESMM59
ES2066;"CAJA DE AHORROS DE SANTANDER Y CANTABRIA";CECAESMM66
ES2080;"CAJA DE AHORROS MUNICIPAL DE VIGO";CAGLESMMVIG
ES2081;"CAIXA D'ESTALVIS DEL PENEDES";CECAESMM81
ES2085;"CAJA DE AHORROS Y M. DE P. DE ZARAGOZA, ARAGÓN Y RIOJA";CAZRES2ZXXX
ES2086;"CAJA DE AHORROS DE LA INMACULADA DE ARAGÓN";CECAESMM86
ES2095;"BILBAO BIZKAIA KUTXA";BASKES2BXXX
ES2096;"CAJA ESPAÑA DE INVERSIONES, CAJA DE AHORROS Y M. DE P.";CSPAES2LXXX
ES2099;"CAJA DE AHORROS Y MONTE DE PIEDAD DE EXTREMADURA";CECAESMM99
ES2100;"CAJA DE AHORROS Y PENSIONES DE BARCELONA";CAIXESBBXXX
ES2101;"CAJA DE AHORROS M. DE P. DE GIPUZKOA Y SAN SEBASTIÁN";CGGKES22XXX
ES2103;"M. DE P. Y C.A. DE RONDA, CÁDIZ, ALMERÍA, MÁLAGA Y ANTEOUERA";UCJAES2MXXX
ES2104;"CAJA DE AHORROS DE SALAMANCA Y SORIA";CSSOES2SXXX
ES2105;"CAJA CASTILLA-LA MANCHA";CECAESMM15
ES2107;UNNIM;BBVAESMM17
ES3001;"CAJA RURAL DE ALMENDRALEJO";BCOEESMM1
ES3005;"CAJA RURAL CENTRAL";BCOEESMM5
ES3007;"CAJA RURAL DE GIJON";BCOEESMM7
ES3008;"CAJA RURAL DE NAVARRA";BCOEESMM8
ES3009;"CAJA RURAL DE EXTREMADURA";BCOEESMM9
ES3016;"CAJA RURAL PROVINCIAL DE SALAMANCA";BCOEESMM16
ES3017;"CAJA RURAL PROVINCIAL DE SORIA";BCOEESMM17
ES3018;"CAJA RURAL SAN AGUSTÍN";BCOEESMM18
ES3020;"CAJA RURAL DE UTRERA SDAD. COOP. AND. LTDA, DE CRÉDITO";BCOEESMM2
ES3023;"CAJA RURAL DE GRANADA";BCOEESMM23
ES3025;"CAIXA CREDIT DELS ENGINYERS SDAD. COOP. DE CREDITO";CDENESBBXXX
ES3029;"CAJA DE CRÉDITO DE PETREL COOP. DE CRÉDITO";CCRIES2A29
ES3035;"CAJA LABORAL POPULAR COOP. DE CRÉDITO";CLPEES2MXXX
ES3045;"CAIXA DE CREDIT D'ALTEA COOP. DE CRÉDITO VALENCIANA";CCRIES2A45
ES3058;"CAJA RURAL DE ALMERÍA";CCRIES2AXXX
ES3059;"CAJA RURAL DE ASTURIAS";BCOEESMM59
ES3060;"CAJA RURAL DE BURGOS SDAD. COOP. DE CRÉDITO";BCOEESMM6
ES3063;"CAJA RURAL DE CÓRDOBA";BCOEESMM63
ES3067;"CAJA RURAL DE JAÉN SDAD. COOP. DE CRÉDITO";BCOEESMM67
ES3070;"CAIXA RURAL DE LUGO SDAD. COOP. DE CRÉDITO LDA.";BCOEESMM7
ES3076;"CAJA RURAL DE TENERIFE SDAD. COOP. DE CRÉDITO";BCOEESMM76
ES3080;"CAJA RURAL DE TERUEL";BCOEESMM8
ES3081;"CAJA RURAL DE TOLEDO";BCOEESMM81
ES3082;"CAJA RURAL DE VALENCIA SDAD. COOP. DE CRÉDITO";CCRIES2A82
ES3084;"CAJA RURAL VASCA SDAD. COOP. DE CRÉDITO LDA.";CVRVES2BXXX
ES3085;"CAJA RURAL DE ZAMORA";BCOEESMM85
ES3089;"CAJA RURAL NUESTRA SEÑORA DE GUADALUPE SDAD. COOP.";BCOEESMM89
ES3095;"CAJA RURAL SAN ROQUE COOP. DE CRÉDITO VALENCIANA";CCRIES2A95
ES3096;"CAJA RURAL DE L'ALCUDIA COOP. DE CRÉDITO";BCOEESMM96
ES3098;"CAJA RURAL NUESTRA SEÑORA DEL ROSARIO SDAD. COOP.";BCOEESMM98
ES3102;"C. RURAL S. VICENTE FERRER COOP. DE CRÉDITO VALENCIANA";BCOEESMM12
ES3104;"C. RURAL NTRA. SRA. DEL CAMPO SDAD. COOP. LDA. ANDALUZA";BCOEESMM14
ES3105;"CAJA DE CRÉDITO CALLOSA D'EN SARRIA";CCRIES2A15
ES3110;"CAJA RURAL CATÓLICO AGRARIA COOP. DE CRÉDITO VALENCIANA";BCOEESMM11
ES3111;"CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA";BCOEESMM111
ES3112;"CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA";CCRIES2A112
ES3113;"CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA";BCOEESMM113
ES3114;"CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA";CCRIES2A114
ES3115;"CAJA RURAL NUESTRA MADRE DEL SOL";BCOEESMM115
