name
"Repeated and unjustified absences or tardies"
"Indiscipline or disobedience"
"Verbal or physical offenses against the employer, workers or their families"
"Violation of contractual good faith"
"Abuse of trust at work"
"Continuous and voluntary decrease in normal performance"
"Habitual drunkenness or drug addiction that negatively affects work"
"Harassment and sexual harassment of the employer or workers"
