codpais,idprovincia,iae,descripcion
ESP,48,122590,PRODUCCION Y PRIMERA TRANSFORMACION DE OTROS METALES NO FERREOS N.C.O.P.
ESP,48,123110,EXTRACCION DE SUSTANCIAS ARCILLOSAS
ESP,48,123120,EXTRACCION DE ROCAS Y PIZARRAS PARA LA CONSTRUCCION
ESP,48,123130,EXTRACCION DE ARENAS Y GRAVAS PARA LA CONSTRUCCION
ESP,48,123140,EXTRACCION DE YESO
ESP,48,123190,EXTRACCION DE OTROS MATERIALES DE CONSTRUCCION N.C.O.P.
ESP,48,123210,EXTRACCION DE SALES POTASICAS
ESP,48,123220,EXTRACCION DE FOSFATOS Y NITRATOS
ESP,48,123310,EXTRACCION DE SAL MARINA
ESP,48,123320,EXTRACCION DE SAL MANANTIAL Y SAL GEMA
ESP,48,123400,EXTRACCION DE PIRITAS Y AZUFRE
ESP,48,123910,EXTRACCION DE FLUORITA
ESP,48,123920,EXTRACCION DE TURBA
ESP,48,123990,EXTRACCION DE OTROS MINERALES NO METALICOS NI ENERGETICOS N.C.O.P.
ESP,48,124100,FABRICACION DE PRODUCTOS TIERRAS COCIDAS PARA LA CONSTRUCCION (EXCEP.REFRA.)
ESP,48,124210,FABRICACION DE CEMENTOS ARTIFICIALES
ESP,48,124220,FABRICACION DE CEMENTOS NATURALES
ESP,48,124230,FABRICACION DE CALES Y YESO
ESP,48,124310,FABRICACION DE HORMIGONES PREPARADOS
ESP,48,124320,FABRICACION DE PRODUCTOS EN FIBROCEMENTO
ESP,48,124330,"FABRICACION DE OTROS ARTICULOS DERIVADOS DEL CEMENTO, EXCEPTO PAVIMENTOS"
ESP,48,124340,FABRICACION DE PAVIMENTOS DERIVADOS DEL CEMENTO
ESP,48,124350,FABRICACION DE ARTICULOS DERIVADOS DEL YESO Y ESCAYOLA
ESP,48,124400,INDUSTRIAS DE LA PIEDRA NATURAL
ESP,48,124500,FABRICACION DE ABRASIVOS
ESP,48,124610,FABRICACION DE VIDRIO PLANO
ESP,48,124620,FABRICACION DE VIDRIO HUECO
ESP,48,124630,FABRICACION DE VIDRIO TECNICO
ESP,48,124640,FABRICACION DE FIBRA DE VIDRIO
ESP,48,124650,MANIPULADO DE VIDRIO
ESP,48,124660,FABRICACION DE FRITAS Y ESMALTES CERAMICOS
ESP,48,124710,FABRICACION DE ARTICULOS REFRACTARIOS
ESP,48,124720,FABRICACION DE BALDOSAS PARA PAVIMENTACION O REVESTIMIENTO SIN BARNIZAR NI ESM
ESP,48,124730,FABRICACION DE BALDOSAS PARA PAVIMENTACION O REVESTIMIENTO BARNIZADAS O ESMALT
ESP,48,124740,"FABRICACION DE VAJILLAS, ARTICULOS DEL HOGAR Y OBJ. ADORNO, DE MATERIAL CERAMI"
ESP,48,124750,"FABRICACION DE APARATOS SANITARIOS DE LOZA, PORCELANA, Y GRES"
ESP,48,124760,FABRICACION AISLADORES Y PIEZAS AISLANTES MATERIAL CERAMICO PARA INSTAL.ELECT.
ESP,48,124790,FABRICACION DE OTROS ARTICULOS CERAMICOS N.C.O.P.
ESP,48,124900,INDUSTRIAS DE OTROS PRODUCTOS MINERALES NO METALICOS N.C.O.P.
ESP,48,125110,FABRICACION DE PRODUCTOS QUIMICOS ORGANICOS DE ORIGEN PETROQUIMICO
ESP,48,125120,FABRICACION DE OTROS PRODUCTOS QUIMICOS ORGANICOS
ESP,48,125130,FABRICACION DE PRODUCTOS QUIMICOS INORGANICOS (EXCEPTO GASES COMPRIMIDOS)
ESP,48,125140,FABRICACION DE PRIMERAS MATERIAS PLASTICAS
ESP,48,125150,FABRICACION DE CAUCHOS Y LATEX SINTETICOS
ESP,48,125160,PRODUCCION DE FIBRAS ARTIFICIALES Y SINTETICAS
ESP,48,125170,FABRICACION DE ACIDO ANHIDRIDO FTALICO Y MALEICO
ESP,48,125210,FABRICACION DE ABONOS
ESP,48,125220,FABRICACION DE PLAGUICIDAS
ESP,48,125310,FABRICACION DE GASES COMPRIMIDOS
ESP,48,125320,FABRICACION DE COLORANTES Y PRIGMENTOS
ESP,48,125330,"FABRICACION DE PINTURAS, BARNICES Y LACAS"
ESP,48,125340,FABRICACION DE TINTAS DE IMPRENTA
ESP,48,125350,TRATAMIENTO DE ACEITES Y GRASAS PARA USOS INDUSTRIALES
ESP,48,125360,"FABRICACION DE ACEITES ESENCIALES Y DE SUSTANCIAS AROMATICAS, NATURALES Y SINT"
ESP,48,125370,"FABRICACION DE COLAS Y GELATINAS Y PROD.AUXILIARES PARA IND.TEXTIL,CUERO Y CAU"
ESP,48,125380,FABRICACION DE EXPLOSIVOS
ESP,48,125390,FABRICACION DE OTROS PRODUCTOS QUIMICOS DE USO INDUSTRIAL N.C.O.P.
ESP,48,125410,FABRICACION DE PRODUCTOS FARMACEUTICOS
ESP,48,125420,FABRICACION DE ESPECIALIDADES Y OTROS PRODUCTOS FARMACEUTICOS
ESP,48,125510,"FABRICACION DE JABONES COMUNES, DETERGENTES Y LEJIAS"
ESP,48,125520,FABRICACION DE JABONES DE TOCADOR Y OTROS PRODUCTOS DE PERFUMERIA Y COSMETICA
ESP,48,125530,FABRICACION DE DERIVADOS DE CERAS Y PARAFINAS
ESP,48,125540,FABRICACION DE MATERIAL FOTOGRAFICO SENSIBLE
ESP,48,125550,"FABRICACION DE ARTICULOS PIROTECNICOS, CERILLAS Y FOSFOROS"
ESP,48,125590,FABRICACION OTROS PRODUCTOS QUIMICOS DESTINADOS PRINCI.AL CONSUMO FINAL N.C.O.
ESP,48,131110,FUNDICION DE PIEZAS DE HIERRO Y ACERO
ESP,48,131120,FUNDICION DE PIEZAS DE METALES NO FERREOS Y SUS ALEACIONES
ESP,48,131200,"FORJA, ESTAMPADO, EMBUTICION, TROQUELADO, CORTE Y REPULSADO"
ESP,48,131300,TRATAMIENTO Y RECUBRIMIENTO DE LOS METALES
ESP,48,131410,CARPINTERIA METALICA
ESP,48,131420,FABRICACION DE ESTRUCTURAS METALICAS
ESP,48,131500,CONSTRUCCION DE GRANDES DEPOSITOS Y CALDERERIA GRUESA
ESP,48,131610,FABRICACION DE HERRAMIENTAS MANUALES
ESP,48,131620,FABRICACION DE ARTICULOS DE FERRETERIA Y CERRAJERIA
ESP,48,131630,TORNILLERIA Y FABRICACION DE ARTICULOS DERIVADOS DEL ALAMBRE
ESP,48,131640,FABRICACION DE ARTICULOS DE MENAJE
ESP,48,131650,"FABRICACION COCINAS, CALENTADORES Y APARATOS DOMESTICOS DE CALEFACCION,NO ELEC"
ESP,48,131660,FABRICACION DE MOBILIARIO METALICO
ESP,48,131670,FABRICACION DE RECIPIENTES Y ENVASES METALICOS
ESP,48,131680,FABRICACION DE ARMAS LIGERAS Y SUS MUNICIONES
