name;note
"Reduced"; "The cost of the course is subsidized by Social Security"
"Subsidized"; "The cost of the course is subsidized by some aid or subsidy"
"Free";"The cost of the course is free"
"Company"; "The cost of the course is assumed by the company"
"Shared"; "The cost of the course is shared between the worker and the company"
