name;note
"Reskilling"; "Training for promotion or change of position within the company"
"Upskilling"; "Training to acquire new skills or knowledge that will improve job performance"
"Cross-skilling"; "Training to acquire skills or knowledge in areas other than those of the current position"
"New-skilling"; "Training to acquire skills or knowledge in areas that did not exist in the company"
