name;note
"Bonificado";"El coste del curso está bonificado por la Seguridad Social"
"Subvencionado";"El coste del curso está subvencionado por alguna ayuda o subvención"
"Gratuito";"El coste del curso es gratuito"
"Empresa";"El coste del curso lo asume la empresa"
"Compartido";"El coste del curso es compartido entre el trabajador y la empresa"
