name;note
"Hard Skill";"Ampliar habilidades o conocimientos técnicos"
"Soft Skill";"Ampliar habilidades sociales, emocionales y de comunicación"
"Compliance";"Conocimiento y cumplimiento de normativas, reglas y procedimientos"
"Liderazgo";"Desarrollo de habilidades de liderazgo, toma de decisiones y gestión de equipos"
"Trabajo en equipo";"Mejorar la cohesion y el rendimiento de las personas que trabajan juntas"
"Creatividad";"Desarrollo de habilidades creativas y de resolución de problemas"
"Comunicación";"Mejorar la capacidad de comunicación y presentación"
"Negociación";"Desarrollo de habilidades de negociación y resolución de conflictos"
