name;note
"OnLine";"Curso realizado a distancia por médios telemáticos"
"Presencial";"Curso realizado en un aula o centro de formación"
"Interno";"Curso realizado dentro de la empresa"
"Colaborativo";"Curso realizado en colaboración con otras empresas o entidades"
