name;note
"Reskilling";"Formación para ascenso o cambio de puesto dentro de la compañía"
"Upskilling";"Formación para adquirir nuevas habilidades o conocimientos que mejorarán el desempeño laboral"
"Cross-skilling";"Formación para adquirir habilidades o conocimientos en áreas diferentes a las del puesto actual"
"New-skilling";"Formación para adquirir habilidades o conocimientos en áreas que no existían en la empresa"
