name
"Ausencias o impuntualidades repetidas e injustificadas"
"Indisciplina o desobediencia"
"Ofensas verbales o físicas al empresario, trabajadores o sus familias"
"Transgresión de la buena fe contractual"
"Abuso de confianza en el trabajo"
"Disminución continuada y voluntaria del rendimiento normal"
"Embriaguez habitual o toxicomanía que repercuten negativamente en el trabajo"
"Acoso y acoso sexual al empresario o trabajadores"
